date,time,check,nifty,spread_value,gross_pl_pct
2026-03-10,14:40:24,1,24235.25,35.8,-0.06
2026-03-10,14:40:25,2,24232.05,39.0,-2.01
2026-03-10,14:41:26,3,24210.25,54.2,-11.26
2026-03-10,14:42:28,4,24222.65,40.25,-2.77
2026-03-10,14:43:29,5,24221.5,40.6,-2.98
2026-03-10,14:44:31,6,24217.3,43.55,-4.78
2026-03-10,14:45:32,7,24211.8,44.5,-5.36
2026-03-10,14:46:33,8,24214.7,43.1,-4.5
2026-03-10,14:47:35,9,24235.0,21.55,8.61
2026-03-10,14:48:36,10,24245.55,21.7,8.52
2026-03-10,14:49:38,11,24262.85,14.7,12.78
2026-03-10,14:50:39,12,24251.85,17.5,11.08
2026-03-10,14:51:41,13,24261.15,11.35,14.82
2026-03-10,14:52:42,14,24265.3,10.45,15.37
2026-03-10,14:53:44,15,24266.4,11.35,14.82
2026-03-10,14:54:45,16,24268.7,9.1,16.19
2026-03-10,14:55:47,17,24258.2,10.7,15.22
2026-03-10,14:56:48,18,24260.1,9.1,16.19
2026-03-10,14:57:50,19,24260.95,9.6,15.89
2026-03-10,14:58:51,20,24262.45,10.1,15.58
2026-03-10,14:59:53,21,24232.2,24.15,7.03
2026-03-10,15:00:54,22,24222.55,33.7,1.22
2026-03-10,15:01:56,23,24222.65,22.8,7.85
2026-03-10,15:02:57,24,24244.35,12.1,14.36
2026-03-10,15:03:58,25,24250.5,8.5,16.56
2026-03-10,15:05:00,26,24255.95,9.85,15.73
2026-03-10,15:06:01,27,24260.6,9.4,16.01
2026-03-10,15:07:03,28,24255.75,4.05,19.26
2026-03-10,15:08:04,29,24257.65,2.7,20.09
2026-03-17,13:45:59,1,23545.15,46.45,0.66
2026-03-17,13:46:01,2,23549.95,44.6,1.87
2026-03-17,13:47:02,3,23553.65,44.75,1.77
2026-03-17,13:48:04,4,23546.4,48.1,-0.43
2026-03-17,13:49:06,5,23562.75,39.65,5.11
2026-03-17,13:50:07,6,23555.4,41.6,3.83
2026-03-17,13:51:09,7,23553.25,42.0,3.57
2026-03-17,13:52:10,8,23555.2,43.9,2.33
2026-03-17,13:53:12,9,23552.95,43.6,2.52
2026-03-17,13:54:13,10,23547.9,46.25,0.79
2026-03-17,13:55:15,11,23552.05,43.7,2.46
2026-03-17,13:56:16,12,23550.0,43.7,2.46
2026-03-17,13:57:18,13,23547.45,46.15,0.85
2026-03-17,13:58:19,14,23535.1,53.1,-3.7
2026-03-17,13:59:21,15,23552.15,43.15,2.82
2026-03-17,14:00:23,16,23555.1,40.1,4.82
2026-03-17,14:01:24,17,23534.7,51.7,-2.79
2026-03-17,14:02:26,18,23553.3,39.3,5.34
2026-03-17,14:03:27,19,23566.55,34.15,8.72
2026-03-17,14:04:29,20,23556.75,36.35,7.28
2026-03-17,14:05:30,21,23542.55,43.2,2.79
2026-03-17,14:06:32,22,23552.25,40.55,4.52
2026-03-17,14:07:34,23,23556.75,37.55,6.49
2026-03-17,14:08:35,24,23568.1,32.6,9.73
2026-03-17,14:09:37,25,23584.4,25.35,14.49
2026-03-17,14:10:38,26,23588.8,23.15,15.93
2026-03-17,14:11:40,27,23592.8,22.75,16.19
2026-03-17,14:12:41,28,23604.15,20.8,17.47
2026-03-17,14:13:43,29,23599.85,22.6,16.29
2026-03-17,14:14:44,30,23602.9,21.45,17.04
2026-03-17,14:15:46,31,23554.55,32.3,9.93
2026-03-17,14:16:48,32,23566.85,29.95,11.47
2026-03-17,14:17:49,33,23569.25,28.45,12.45
2026-03-17,14:18:51,34,23563.25,32.4,9.87
2026-03-17,14:19:52,35,23572.2,27.3,13.21
2026-03-17,14:20:54,36,23552.0,38.05,6.16
2026-03-17,14:21:55,37,23543.8,43.7,2.46
2026-03-17,14:22:57,38,23538.25,46.95,0.33
2026-03-17,14:23:58,39,23545.25,40.35,4.65
2026-03-17,14:25:00,40,23543.2,42.85,3.02
2026-03-17,14:26:01,41,23534.05,46.25,0.79
2026-03-17,14:27:03,42,23548.35,39.8,5.01
2026-03-17,14:28:05,43,23555.5,35.0,8.16
2026-03-17,14:29:06,44,23565.05,28.4,12.49
2026-03-17,14:30:08,45,23574.65,25.1,14.65
2026-03-17,14:31:09,46,23582.85,18.85,18.75
2026-03-17,14:32:11,47,23571.25,23.7,15.57
2026-03-17,14:33:12,48,23579.15,20.85,17.44
2026-03-17,14:34:14,49,23583.5,18.15,19.21
2026-03-17,14:35:15,50,23595.05,14.1,21.86
2026-03-24,13:45:44,1,23032.45,47.4,0.2
2026-03-24,13:45:45,2,23042.75,51.15,-2.27
2026-03-24,13:46:46,3,23021.0,43.9,2.5
2026-03-24,13:47:48,4,22998.4,36.45,7.39
2026-03-24,13:48:49,5,22969.9,26.7,13.79
2026-03-24,13:49:50,6,22975.65,27.5,13.26
2026-03-24,13:50:52,7,22957.3,22.45,16.58
2026-03-24,13:51:53,8,22976.55,27.65,13.16
2026-03-24,13:52:54,9,22991.45,32.35,10.08
2026-03-24,13:53:56,10,22973.7,24.9,14.97
2026-03-24,13:54:57,11,22976.0,25.8,14.38
2026-03-24,13:55:59,12,22981.05,26.05,14.22
2026-03-24,13:57:00,13,22989.85,31.0,10.97
2026-03-24,13:58:01,14,22983.35,28.95,12.31
2026-03-24,13:59:03,15,22973.75,24.45,15.27
2026-03-24,14:00:04,16,22980.1,25.6,14.51
2026-03-24,14:01:06,17,22990.8,30.1,11.56
2026-03-24,14:02:07,18,22985.35,27.05,13.56
2026-03-24,14:03:08,19,22974.45,24.7,15.1
2026-03-24,14:04:10,20,22976.45,25.55,14.54
2026-03-24,14:05:11,21,22987.4,28.35,12.71
2026-03-24,14:06:13,22,22987.7,28.9,12.34
2026-03-24,14:07:14,23,22984.35,28.3,12.74
2026-03-24,14:08:15,24,22963.35,21.1,17.47
2026-03-24,14:09:17,25,22975.25,21.6,17.14
2026-03-24,14:10:18,26,22987.6,27.45,13.3
2026-03-24,14:11:19,27,22974.55,20.9,17.6
2026-03-24,14:12:21,28,22975.95,22.15,16.78
2026-03-24,14:13:22,29,22992.7,25.25,14.74
2026-03-24,14:14:23,30,23004.4,30.5,11.29
2026-03-24,14:15:25,31,23007.15,32.4,10.05
2026-03-24,14:16:26,32,23012.0,34.65,8.57
